customer_id,customer_type,region,product_tier,lifetime_value,churn,support_tickets,retention_days
54,Startup,North America,Basic,2782.05,0.1078,3.0,209
55,Startup,North America,Standard,3864.61,0.0991,0.0,178
56,Startup,Europe,Standard,2864.77,0.0897,5.0,377
57,Startup,Latin America,Basic,2178.77,0.1112,0.0,285
58,Startup,North America,Standard,2102.05,0.0625,2.0,316
59,SMB,Europe,Premium,8482.44,0.1002,9.0,443
60,SMB,Asia Pacific,Premium,9126.84,0.1193,9.0,307
61,Startup,Latin America,Basic,1462.61,0.0671,4.0,178
62,Startup,Europe,Standard,3677.3,0.1177,1.0,257
63,Startup,North America,Standard,4634.38,0.0525,2.0,290
64,Startup,Europe,Premium,3897.32,0.066,0.0,353
65,Startup,North America,Standard,4349.45,0.1403,5.0,464
66,Startup,Latin America,Basic,1808.68,0.1498,2.0,283
67,Startup,North America,Standard,2742.98,0.0988,5.0,197
68,SMB,Europe,Basic,6549.93,0.1372,6.0,318
69,Enterprise,North America,Standard,196504.61,0.0469,4.0,1038
70,SMB,Europe,Standard,9401.31,0.1192,10.0,353
71,SMB,Asia Pacific,Basic,8297.65,0.1055,4.0,416
72,SMB,Europe,Standard,11945.53,0.1555,8.0,543
73,Individual,Europe,Standard,639.96,0.1319,3.0,182
74,SMB,Latin America,Basic,4381.55,0.0834,10.0,353
75,SMB,Asia Pacific,Standard,8492.42,0.1199,9.0,387
76,SMB,North America,Standard,7588.75,0.1729,8.0,453
77,SMB,Europe,Basic,7956.08,0.1174,8.0,463
78,Startup,Europe,Standard,3987.22,0.1108,7.0,291
79,Startup,Europe,Standard,2181.56,0.1254,4.0,249
80,Startup,North America,Premium,2918.4,0.1159,2.0,74
81,Startup,North America,Standard,5207.45,0.0964,6.0,211
82,SMB,Latin America,Standard,7090.62,0.165,6.0,339
83,Individual,Latin America,Basic,210.09,0.1457,7.0,165
84,SMB,Asia Pacific,Standard,10466.57,0.1725,7.0,429
85,Enterprise,Latin America,Basic,101830.55,0.0418,11.0,970
86,SMB,Asia Pacific,Standard,6990.14,0.1319,3.0,317
87,Startup,Asia Pacific,Standard,3521.39,0.1065,3.0,302
88,Startup,Asia Pacific,Standard,2259.67,0.0745,2.0,183
89,SMB,Europe,Basic,6717.19,0.1248,2.0,520
90,Startup,Europe,Standard,2947.45,0.0999,3.0,288
91,SMB,North America,Standard,5898.04,0.0822,13.0,154
92,Startup,Europe,Basic,2047.4,0.1462,2.0,292
93,SMB,North America,Standard,7284.63,0.1059,6.0,407
94,SMB,North America,Standard,8054.82,0.1393,5.0,382
95,SMB,Europe,Basic,7137.45,0.11,10.0,454
96,Startup,Europe,Standard,4025.77,0.1343,1.0,280
97,SMB,North America,Premium,13092.75,0.1198,9.0,364
98,SMB,Asia Pacific,Standard,5273.82,0.1135,6.0,403
99,SMB,Asia Pacific,Premium,8739.74,0.1437,2.0,456
100,Individual,North America,Standard,859.19,0.1538,1.0,157
101,Individual,North America,Basic,469.12,0.1014,4.0,152
102,Startup,North America,Premium,5945.34,0.0881,4.0,281
103,SMB,Asia Pacific,Basic,5535.01,0.1468,7.0,682
104,Individual,Asia Pacific,Basic,302.28,0.1848,4.0,1
105,Startup,North America,Basic,2001.78,0.0506,2.0,329
106,Startup,Asia Pacific,Basic,1116.45,0.1244,1.0,253
107,SMB,North America,Basic,6428.08,0.1652,4.0,419
108,SMB,North America,Basic,6874.86,0.1374,6.0,418
109,SMB,Latin America,Standard,6543.01,0.1214,4.0,209
110,Individual,North America,Standard,358.01,0.2048,1.0,146
111,Startup,North America,Standard,1864.09,0.1478,5.0,252
112,SMB,Europe,Standard,6682.21,0.1584,7.0,340
113,SMB,Europe,Standard,8471.46,0.1128,4.0,293
114,Startup,Latin America,Basic,2215.21,0.1187,2.0,283
115,SMB,Latin America,Premium,7588.72,0.1068,5.0,540
116,Individual,North America,Basic,524.66,0.2087,1.0,62
117,Startup,North America,Standard,4578.73,0.1497,1.0,345
118,Startup,Asia Pacific,Premium,4119.17,0.1275,5.0,415
119,SMB,North America,Premium,12170.46,0.1749,3.0,362
120,Startup,Asia Pacific,Standard,3682.32,0.089,2.0,263
121,Startup,Europe,Standard,2656.97,0.0566,2.0,271
122,Startup,North America,Premium,4718.91,0.1293,5.0,218
123,SMB,Asia Pacific,Standard,8313.89,0.1724,10.0,342
124,SMB,North America,Standard,11677.96,0.1408,12.0,408
125,Enterprise,Europe,Standard,154560.72,0.0342,8.0,1111
126,Startup,Europe,Standard,3364.12,0.0805,2.0,279
127,SMB,Europe,Standard,8583.48,0.1725,3.0,419
128,SMB,Europe,Standard,9338.87,0.132,11.0,334
129,SMB,Europe,Premium,14481.64,0.1468,3.0,319
130,Startup,Latin America,Premium,2451.88,0.1461,1.0,337
131,SMB,Latin America,Standard,5731.71,0.0859,6.0,406
132,Individual,Europe,Basic,574.75,0.1005,2.0,132
133,Startup,North America,Basic,2760.65,0.0529,2.0,356
134,SMB,Asia Pacific,Basic,4223.94,0.1165,3.0,549
135,Startup,Latin America,Standard,3155.82,0.0874,5.0,125
136,Enterprise,North America,Standard,229841.07,0.0495,10.0,880
137,Individual,Europe,Standard,391.05,0.1071,3.0,103
138,Startup,Europe,Basic,2015.45,0.0864,2.0,311
139,Startup,North America,Basic,2487.18,0.1124,1.0,189
140,SMB,Europe,Basic,5913.15,0.0852,5.0,450
141,Startup,North America,Basic,2333.63,0.0742,3.0,304
142,Startup,Asia Pacific,Standard,3791.53,0.0843,2.0,355
143,Individual,Asia Pacific,Basic,73.88,0.2365,2.0,108
144,Startup,Asia Pacific,Basic,2216.0,0.1278,5.0,294
145,Startup,Europe,Standard,3361.56,0.1325,3.0,320
146,SMB,North America,Basic,6055.32,0.1,5.0,427
147,SMB,Asia Pacific,Premium,8620.36,0.1567,10.0,403
148,Startup,Asia Pacific,Basic,1471.49,0.14,1.0,197
149,SMB,Europe,Basic,7485.35,0.1559,7.0,351
150,Enterprise,Asia Pacific,Premium,190917.67,0.012,5.0,1104
151,Individual,North America,Basic,281.24,0.2255,5.0,143
152,Individual,Asia Pacific,Premium,418.73,0.245,4.0,71
153,SMB,North America,Basic,6686.81,0.1628,7.0,210
154,Startup,North America,Basic,1864.24,0.135,5.0,250
155,SMB,Europe,Basic,3516.98,0.1466,10.0,262
156,Startup,North America,Basic,1554.85,0.1214,1.0,332
157,SMB,North America,Premium,14834.49,0.1734,6.0,358
158,Startup,North America,Standard,3892.48,0.1353,1.0,238
159,Startup,Europe,Standard,3722.23,0.1407,4.0,153
160,Startup,Asia Pacific,Premium,2380.87,0.1372,7.0,268
161,SMB,North America,Standard,6756.08,0.1288,9.0,274
162,Individual,Europe,Standard,626.63,0.2278,3.0,90
163,SMB,Asia Pacific,Standard,4247.23,0.1775,6.0,384
164,Enterprise,North America,Standard,211883.49,0.0196,13.0,1190
165,Startup,North America,Basic,4073.55,0.1101,5.0,230
166,SMB,Asia Pacific,Standard,8428.93,0.1171,6.0,355
167,Individual,Asia Pacific,Basic,328.1,0.2116,3.0,192
168,Individual,Europe,Standard,496.44,0.1704,0.0,168
169,SMB,Asia Pacific,Standard,7924.78,0.1726,4.0,181
170,Individual,North America,Standard,499.21,0.2476,4.0,132
171,SMB,North America,Standard,14040.99,0.1273,8.0,419
172,Startup,Asia Pacific,Standard,2877.79,0.1492,4.0,245
173,SMB,North America,Standard,11461.81,0.1193,2.0,360
174,Individual,Asia Pacific,Standard,437.63,0.2433,4.0,133
175,SMB,Europe,Standard,11608.24,0.0906,3.0,476
176,Enterprise,Asia Pacific,Standard,117923.41,0.0465,11.0,798
177,SMB,Europe,Standard,8865.63,0.1201,4.0,255
178,Individual,North America,Basic,385.52,0.2338,2.0,123
179,Individual,North America,Standard,561.44,0.1749,2.0,187
180,Startup,North America,Basic,2527.11,0.058,4.0,289
181,Individual,Asia Pacific,Basic,262.55,0.1458,0.0,119
182,Individual,North America,Basic,475.29,0.2131,7.0,222
183,Startup,North America,Basic,2913.45,0.1203,8.0,216
184,SMB,North America,Premium,15996.06,0.0809,6.0,485
185,Startup,North America,Standard,3408.14,0.066,4.0,292
186,Startup,Asia Pacific,Standard,2312.07,0.0892,1.0,400
187,SMB,North America,Basic,5487.59,0.1474,5.0,507
188,SMB,Latin America,Standard,5702.49,0.1078,11.0,367
189,Startup,North America,Standard,2234.28,0.1152,1.0,239
190,SMB,Europe,Basic,4620.02,0.1144,11.0,456
191,Individual,Europe,Premium,658.29,0.1367,3.0,91
192,SMB,North America,Standard,11392.43,0.1193,4.0,248
193,SMB,Asia Pacific,Basic,5202.63,0.1019,6.0,591
194,Individual,Latin America,Premium,682.07,0.1824,2.0,194
195,SMB,Asia Pacific,Standard,7021.81,0.1552,12.0,253
196,SMB,North America,Basic,6360.72,0.0919,2.0,429
197,Startup,North America,Premium,4781.57,0.1344,3.0,356
198,Individual,Europe,Standard,526.61,0.1185,3.0,5
199,SMB,North America,Standard,7760.35,0.1171,10.0,362
200,SMB,Asia Pacific,Basic,5785.2,0.177,6.0,363
201,Startup,Europe,Premium,2726.02,0.0727,2.0,315
202,Individual,Europe,Basic,470.01,0.1733,3.0,35
203,Startup,Asia Pacific,Basic,1823.01,0.0754,3.0,376
204,SMB,Asia Pacific,Standard,10227.46,0.1108,8.0,427
205,Enterprise,North America,Standard,205576.44,0.0225,6.0,921
206,SMB,North America,Standard,7178.04,0.1347,4.0,358
207,SMB,Europe,Basic,6630.21,0.1719,7.0,483
208,Startup,Europe,Standard,3139.77,0.0837,2.0,332
209,SMB,North America,Standard,17889.71,0.1106,5.0,480
210,Startup,Europe,Premium,3735.5,0.0596,2.0,175
211,Startup,Asia Pacific,Basic,2569.02,0.124,1.0,327
212,Startup,Asia Pacific,Standard,1571.83,0.0782,0.0,331
213,SMB,Europe,Basic,3324.8,0.0863,5.0,329
214,Individual,North America,Standard,507.37,0.1871,3.0,161
215,Startup,North America,Basic,2008.87,0.097,2.0,287
216,Startup,Europe,Premium,4292.46,0.103,4.0,114
217,SMB,North America,Premium,7072.1,0.1499,3.0,407
218,SMB,Europe,Basic,5550.29,0.1368,6.0,482
219,Individual,Europe,Basic,292.43,0.1556,4.0,58
220,SMB,North America,Standard,10502.57,0.1276,9.0,607
221,SMB,North America,Standard,7586.75,0.0992,5.0,395
222,Startup,North America,Standard,4235.02,0.0547,2.0,362
223,Startup,Asia Pacific,Standard,2184.52,0.0878,4.0,265
224,Individual,Europe,Standard,275.96,0.1011,4.0,145
225,SMB,North America,Basic,8968.17,0.1013,4.0,449
226,Individual,Asia Pacific,Standard,327.6,0.2397,5.0,164
227,Enterprise,Europe,Basic,104747.39,0.0357,15.0,1032
228,Startup,Europe,Premium,4229.09,0.1048,2.0,266
229,Startup,Latin America,Premium,2006.49,0.1079,2.0,239
230,SMB,North America,Basic,7615.86,0.1534,3.0,403
231,SMB,North America,Standard,6370.87,0.0964,11.0,581
232,SMB,Europe,Basic,5812.63,0.1367,6.0,487
233,Individual,North America,Premium,907.99,0.1027,1.0,81
234,Startup,Europe,Basic,1146.13,0.07,3.0,382
235,Individual,North America,Basic,83.97,0.1587,3.0,166
236,Individual,North America,Basic,411.58,0.2257,4.0,96
237,Startup,North America,Premium,7465.27,0.09,2.0,349
238,Startup,Europe,Standard,3939.23,0.1333,4.0,296
239,Enterprise,North America,Standard,196526.68,0.0206,8.0,992
240,SMB,North America,Standard,9776.78,0.0851,2.0,482
241,Individual,Asia Pacific,Standard,303.78,0.1396,5.0,160
242,Startup,North America,Premium,7250.59,0.1007,3.0,213
243,SMB,North America,Standard,8373.89,0.1608,5.0,476
244,Startup,North America,Standard,5631.0,0.1227,1.0,305
245,Startup,North America,Standard,4937.78,0.1186,3.0,250
246,Individual,North America,Standard,130.67,0.202,4.0,106
247,Startup,Europe,Standard,2713.96,0.1483,5.0,154
248,SMB,North America,Basic,8743.57,0.0916,6.0,333
249,SMB,Asia Pacific,Standard,7750.51,0.1696,7.0,446
250,SMB,Latin America,Standard,4391.08,0.0961,6.0,483
251,Startup,North America,Standard,6476.39,0.0779,3.0,55
252,Individual,North America,Basic,547.22,0.1811,3.0,122
253,Startup,North America,Standard,3819.81,0.1131,6.0,342
254,SMB,Europe,Standard,9678.95,0.1173,8.0,283
255,SMB,North America,Basic,6102.44,0.1354,8.0,261
256,Startup,Asia Pacific,Standard,2933.74,0.0763,0.0,358
257,Individual,Asia Pacific,Basic,309.54,0.2188,7.0,129
258,SMB,Asia Pacific,Basic,6654.26,0.1557,3.0,410
259,SMB,Europe,Premium,13790.74,0.1134,3.0,591
260,Startup,Latin America,Standard,2772.77,0.1271,3.0,295
261,SMB,North America,Basic,5034.43,0.1222,3.0,403
262,Individual,Europe,Basic,332.36,0.1029,3.0,104
263,SMB,North America,Standard,7576.48,0.1006,7.0,365
264,SMB,Latin America,Premium,9466.06,0.1205,7.0,281
265,Individual,Europe,Standard,641.44,0.2089,3.0,71
266,SMB,Asia Pacific,Premium,4839.08,0.1376,7.0,283
267,SMB,North America,Basic,7254.73,0.1523,4.0,409
268,SMB,Latin America,Standard,5424.53,0.1636,8.0,326
269,SMB,Europe,Basic,3096.68,0.1209,4.0,350
270,Enterprise,Europe,Basic,110784.49,0.024,13.0,995
271,SMB,Latin America,Basic,7282.9,0.1297,11.0,245
272,SMB,North America,Basic,9054.46,0.1366,4.0,408
273,SMB,North America,Basic,6287.71,0.0908,6.0,485
274,Startup,Europe,Basic,1404.69,0.1428,2.0,73
275,Startup,North America,Basic,1847.65,0.0978,4.0,295
276,SMB,North America,Premium,15981.04,0.1186,4.0,395
277,SMB,North America,Standard,8775.51,0.1773,2.0,338
278,Startup,North America,Standard,3964.56,0.1318,2.0,329
279,Individual,Asia Pacific,Basic,453.51,0.1215,1.0,183
280,Individual,Europe,Basic,499.79,0.129,1.0,167
281,Enterprise,North America,Standard,155395.7,0.0204,12.0,1141
282,SMB,Europe,Standard,8535.81,0.1235,6.0,456
283,SMB,Europe,Standard,11835.63,0.1248,7.0,405
284,SMB,Europe,Basic,8022.66,0.1501,7.0,423
285,Startup,Latin America,Standard,3363.62,0.1241,1.0,316
286,SMB,Latin America,Premium,12639.23,0.134,7.0,359
287,Enterprise,North America,Basic,142830.81,0.0256,21.0,903
288,SMB,North America,Basic,9446.6,0.1557,12.0,205
289,Startup,Europe,Standard,1559.99,0.1284,4.0,312
290,SMB,Europe,Standard,15996.26,0.1596,5.0,352
291,Individual,Europe,Basic,472.63,0.2391,5.0,139
292,SMB,Europe,Basic,5098.41,0.0969,5.0,303
293,Individual,Europe,Basic,350.59,0.1759,4.0,105
294,SMB,North America,Standard,10553.36,0.1634,6.0,410
295,Individual,North America,Standard,760.89,0.1315,6.0,111
296,Individual,North America,Premium,624.89,0.1301,3.0,148
297,Individual,North America,Basic,404.09,0.2173,2.0,116
298,Individual,North America,Premium,782.41,0.2008,1.0,139
299,Startup,Asia Pacific,Premium,2137.58,0.1202,4.0,270
300,Startup,North America,Basic,2156.06,0.1146,1.0,148
301,Startup,North America,Basic,3894.12,0.0842,3.0,277
302,SMB,Europe,Basic,8053.16,0.13,7.0,207
303,Startup,Asia Pacific,Standard,2668.6,0.0747,2.0,386
304,Startup,North America,Standard,2752.72,0.1462,4.0,341
305,Individual,Asia Pacific,Standard,287.38,0.1465,2.0,151
306,Startup,Latin America,Standard,2049.34,0.1061,1.0,391
307,SMB,Europe,Standard,10209.73,0.1743,2.0,272
308,Startup,Europe,Standard,4047.0,0.1237,4.0,116
309,SMB,North America,Standard,7563.54,0.1134,3.0,339
310,SMB,Latin America,Basic,3512.18,0.0894,7.0,486
311,Startup,North America,Basic,3072.54,0.0555,3.0,184
312,SMB,Latin America,Premium,9330.91,0.1643,5.0,412
313,SMB,Europe,Standard,8740.7,0.1456,8.0,460
314,SMB,North America,Standard,10116.83,0.1767,6.0,339
315,SMB,North America,Standard,10801.95,0.1143,8.0,480
316,SMB,Europe,Standard,7419.89,0.1351,7.0,373
317,SMB,Europe,Standard,12024.45,0.159,11.0,418
318,Startup,North America,Basic,2454.78,0.0941,1.0,389
319,SMB,Asia Pacific,Standard,6776.49,0.1764,9.0,366
320,Individual,Asia Pacific,Basic,432.98,0.1916,3.0,87
321,Individual,Europe,Premium,592.42,0.1006,0.0,123
322,Startup,Europe,Premium,5188.26,0.0706,2.0,161
323,SMB,North America,Standard,11954.57,0.1682,3.0,405
324,Startup,Asia Pacific,Premium,4186.32,0.0955,1.0,311
325,Individual,North America,Standard,602.22,0.1447,4.0,71
326,Startup,Asia Pacific,Basic,1203.67,0.1056,3.0,306
327,Individual,North America,Standard,422.96,0.1346,0.0,105
328,Startup,Europe,Standard,3760.42,0.1254,6.0,134
329,Startup,North America,Standard,4467.24,0.1018,3.0,221
330,SMB,North America,Standard,8479.71,0.0972,1.0,360
331,Startup,Asia Pacific,Standard,3254.01,0.1063,3.0,208
332,SMB,Europe,Standard,7323.47,0.1108,8.0,539
333,Startup,Europe,Basic,2245.33,0.1206,2.0,211
334,Individual,Latin America,Premium,623.57,0.1928,5.0,116
335,SMB,Latin America,Standard,7382.5,0.1664,4.0,337
336,Startup,Asia Pacific,Basic,2389.02,0.0783,3.0,326
337,SMB,North America,Basic,6410.69,0.1234,6.0,325
338,Startup,Europe,Standard,4067.8,0.1027,2.0,339
339,SMB,Asia Pacific,Standard,5542.86,0.091,7.0,589
340,Individual,North America,Premium,905.62,0.1412,3.0,202
341,SMB,North America,Standard,14025.88,0.1742,15.0,320
342,Individual,Asia Pacific,Premium,594.77,0.2343,3.0,123
343,Individual,Europe,Basic,371.24,0.2185,3.0,142
344,Startup,Europe,Standard,3408.51,0.1167,1.0,367
345,Startup,Latin America,Basic,1560.86,0.1033,9.0,273
346,Startup,Europe,Premium,3786.54,0.0638,3.0,310
347,Individual,Europe,Basic,136.03,0.1791,1.0,52
348,SMB,North America,Basic,9086.19,0.1693,6.0,352
349,Startup,Europe,Premium,4728.0,0.1087,5.0,233
350,SMB,North America,Premium,14969.32,0.1351,5.0,271
351,Startup,Asia Pacific,Premium,4602.36,0.1377,3.0,319
352,SMB,Asia Pacific,Basic,4774.25,0.1456,5.0,428
353,Startup,North America,Standard,3964.17,0.0774,2.0,321
354,Startup,North America,Standard,2692.91,0.0657,7.0,143
355,Startup,Asia Pacific,Standard,2268.15,0.1476,2.0,198
356,Startup,North America,Basic,3143.11,0.0736,5.0,169
357,Startup,Europe,Standard,4858.3,0.0701,1.0,283
358,Startup,Europe,Standard,3722.67,0.1121,2.0,220
359,Startup,Europe,Basic,1757.19,0.1056,5.0,258
360,Startup,North America,Standard,3925.38,0.0726,3.0,225
361,Individual,Europe,Basic,320.41,0.1354,6.0,172
362,SMB,North America,Premium,12713.3,0.1602,7.0,438
363,SMB,Europe,Standard,9792.39,0.1217,4.0,360
364,SMB,North America,Basic,6280.81,0.0826,6.0,340
365,Startup,Europe,Basic,2284.07,0.0865,3.0,145
366,SMB,Europe,Basic,8743.46,0.1032,8.0,462
367,Startup,North America,Standard,3981.44,0.1047,0.0,266
368,Startup,North America,Standard,2864.27,0.1255,2.0,349
369,SMB,North America,Standard,12230.74,0.108,10.0,328
370,Individual,North America,Standard,557.16,0.2344,2.0,108
371,Startup,North America,Standard,4743.89,0.1466,2.0,110
372,SMB,Latin America,Standard,6817.42,0.0974,5.0,523
373,SMB,Europe,Standard,8800.59,0.1627,5.0,528
374,SMB,Asia Pacific,Standard,8093.26,0.1351,4.0,538
375,SMB,Latin America,Standard,10355.84,0.1574,6.0,442
376,SMB,North America,Premium,13529.09,0.1638,4.0,409
377,Individual,Europe,Basic,217.88,0.1193,3.0,133
378,SMB,Asia Pacific,Basic,5753.98,0.0863,6.0,289
379,SMB,Europe,Premium,11548.34,0.1599,5.0,356
380,Startup,Europe,Basic,2613.03,0.1405,1.0,300
381,Startup,Europe,Basic,2200.8,0.0897,0.0,242
382,Individual,North America,Standard,916.96,0.1675,2.0,130
383,Startup,Europe,Standard,4243.83,0.1385,1.0,242
384,Startup,Latin America,Premium,3985.99,0.109,6.0,192
385,SMB,Latin America,Premium,7642.0,0.1405,8.0,515
386,Individual,North America,Basic,304.08,0.2303,2.0,82
387,Startup,Asia Pacific,Basic,2129.81,0.0577,1.0,331
388,Individual,North America,Premium,459.0,0.2044,2.0,124
389,SMB,Latin America,Basic,4879.17,0.1357,4.0,307
390,Individual,North America,Premium,804.03,0.2157,3.0,56
391,Startup,Latin America,Standard,1978.47,0.1191,3.0,393
392,SMB,Asia Pacific,Basic,4078.81,0.1578,6.0,594
393,Startup,North America,Standard,5162.74,0.1131,2.0,88
394,Startup,North America,Premium,7204.19,0.0707,1.0,359
395,Enterprise,Asia Pacific,Standard,143718.6,0.0313,7.0,852
396,Startup,North America,Basic,2873.85,0.1126,6.0,259
397,Individual,Europe,Standard,589.53,0.1876,1.0,147
398,SMB,Latin America,Standard,9922.72,0.104,2.0,584
399,Startup,Europe,Premium,4746.43,0.1223,3.0,396
400,SMB,North America,Standard,13268.55,0.166,7.0,512
401,SMB,Europe,Standard,11047.4,0.1088,5.0,465
402,Individual,North America,Basic,215.91,0.2174,2.0,78
403,Startup,Latin America,Basic,1280.37,0.075,1.0,246
404,SMB,North America,Basic,6974.67,0.176,10.0,502
405,Individual,North America,Basic,248.36,0.2379,5.0,147
406,Individual,North America,Standard,826.0,0.1257,2.0,65
407,SMB,Latin America,Standard,6375.22,0.1729,6.0,302
408,Individual,North America,Standard,556.05,0.198,3.0,177
409,SMB,Asia Pacific,Standard,9731.39,0.135,7.0,415
410,Individual,Asia Pacific,Basic,394.57,0.2428,2.0,154
411,Startup,Asia Pacific,Basic,921.29,0.1416,7.0,219
412,Startup,Latin America,Basic,1746.73,0.1128,4.0,289
413,SMB,Asia Pacific,Standard,8281.07,0.1768,5.0,471
414,Individual,Latin America,Standard,470.21,0.1721,4.0,135
415,Enterprise,North America,Standard,184262.19,0.0176,10.0,921
416,SMB,Asia Pacific,Premium,10885.61,0.1634,2.0,467
417,SMB,Europe,Standard,9942.03,0.1621,6.0,414
418,Startup,Europe,Standard,2802.97,0.0583,5.0,340
419,SMB,Asia Pacific,Premium,7044.68,0.1549,3.0,496
420,Individual,Latin America,Basic,482.28,0.1764,2.0,135
421,Startup,Asia Pacific,Premium,2887.96,0.1041,4.0,117
422,Enterprise,Europe,Standard,157406.55,0.0135,11.0,788
423,Enterprise,Europe,Basic,73861.21,0.0257,11.0,961
424,SMB,North America,Premium,15113.09,0.1732,4.0,408
425,Startup,North America,Basic,2481.31,0.1417,5.0,74
426,Individual,North America,Basic,564.5,0.1523,3.0,92
427,SMB,North America,Premium,18578.64,0.0911,4.0,458
428,Individual,North America,Basic,555.53,0.2163,5.0,143
429,SMB,Asia Pacific,Basic,5770.86,0.0912,2.0,320
430,Individual,Europe,Basic,355.12,0.2435,2.0,39
431,Individual,Latin America,Basic,300.6,0.2388,0.0,143
432,Startup,Europe,Basic,2489.69,0.1454,1.0,218
433,Startup,North America,Standard,5514.96,0.0942,4.0,316
434,Individual,North America,Standard,908.06,0.2159,2.0,87
435,Enterprise,North America,Basic,121242.86,0.032,10.0,1145
436,SMB,Latin America,Basic,4596.7,0.1304,8.0,555
437,SMB,North America,Standard,11366.75,0.1546,7.0,312
438,Startup,Europe,Basic,2772.12,0.1199,5.0,120
439,Startup,Latin America,Standard,2758.83,0.1025,2.0,349
440,Startup,Latin America,Basic,1753.76,0.0648,2.0,146
441,Individual,North America,Basic,435.91,0.2387,2.0,150
442,SMB,North America,Standard,11701.57,0.145,11.0,392
443,Startup,North America,Standard,4461.47,0.1129,6.0,260
444,SMB,North America,Standard,5966.97,0.151,8.0,411
445,SMB,North America,Standard,9282.37,0.1592,7.0,461
446,Startup,Europe,Standard,3079.31,0.0521,7.0,234
447,Individual,Latin America,Premium,542.96,0.1591,2.0,123
448,Startup,Europe,Standard,4378.14,0.114,6.0,267
449,SMB,Europe,Standard,9487.59,0.11,4.0,261
450,Startup,North America,Standard,2958.16,0.1175,3.0,270
451,Enterprise,Asia Pacific,Basic,90853.51,0.0466,11.0,922
452,Individual,Europe,Basic,444.12,0.1778,4.0,171
453,Startup,Asia Pacific,Basic,2604.67,0.0557,4.0,210
454,SMB,Latin America,Basic,4422.82,0.1047,5.0,360
455,SMB,North America,Basic,7746.48,0.1216,7.0,376
456,SMB,North America,Standard,5690.41,0.1168,7.0,576
457,Individual,North America,Basic,473.1,0.1262,6.0,134
458,Startup,Europe,Premium,6125.45,0.1311,6.0,189
459,Startup,Latin America,Standard,1582.63,0.0576,2.0,192
